County,County Code,Deaths,Population,Crude Rate
"Adams County, CO",08001,"3,703","519,883",712.3
"Alamosa County, CO",08003,167,"16,180","1,032.1"
"Arapahoe County, CO",08005,"4,923","657,452",748.8
"Archuleta County, CO",08007,116,"14,196",817.1
"Baca County, CO",08009,77,"3,555","2,166.0"
"Bent County, CO",08011,78,"5,356","1,456.3"
"Boulder County, CO",08013,"2,166","327,171",662.0
"Broomfield County, CO",08014,530,"72,236",733.7
"Chaffee County, CO",08015,210,"20,661","1,016.4"
"Cheyenne County, CO",08017,25,"1,795","1,392.8"
"Clear Creek County, CO",08019,67,"9,586",698.9
"Conejos County, CO",08021,92,"8,143","1,129.8"
"Costilla County, CO",08023,41,"3,921","1,045.7"
"Crowley County, CO",08025,74,"5,696","1,299.2"
"Custer County, CO",08027,56,"5,183","1,080.5"
"Delta County, CO",08029,452,"31,067","1,454.9"
"Denver County, CO",08031,"5,760","735,538",783.1
"Dolores County, CO",08033,23,"2,096","1,097.3"
"Douglas County, CO",08035,"1,922","360,750",532.8
"Eagle County, CO",08037,159,"54,929",289.5
"Elbert County, CO",08039,170,"27,313",622.4
"El Paso County, CO",08041,"6,176","728,310",848.0
"Fremont County, CO",08043,623,"47,867","1,301.5"
"Garfield County, CO",08045,394,"60,366",652.7
"Gilpin County, CO",08047,34,"6,235",545.3
"Grand County, CO",08049,81,"15,794",512.9
"Gunnison County, CO",08051,86,"17,593",488.8
"Hinsdale County, CO",08053,"Suppressed (small-cell, per WONDER confidentiality policy: fewer than 10 deaths)",808,"Suppressed (small-cell, per WONDER confidentiality policy)"
"Huerfano County, CO",08055,143,"6,883","2,077.6"
"Jackson County, CO",08057,16,"1,389",Unreliable (rate calculated from a numerator of 20 or fewer deaths)
"Jefferson County, CO",08059,"5,300","583,283",908.6
"Kiowa County, CO",08061,20,"1,458","1,371.7"
"Kit Carson County, CO",08063,93,"7,121","1,306.0"
"Lake County, CO",08065,36,"7,987",450.7
"La Plata County, CO",08067,418,"56,564",739.0
"Larimer County, CO",08069,"2,663","360,428",738.8
"Las Animas County, CO",08071,189,"14,420","1,310.7"
"Lincoln County, CO",08073,62,"5,680","1,091.5"
"Logan County, CO",08075,309,"21,974","1,406.2"
"Mesa County, CO",08077,"1,801","155,603","1,157.4"
"Mineral County, CO",08079,"Suppressed (small-cell, per WONDER confidentiality policy: fewer than 10 deaths)",773,"Suppressed (small-cell, per WONDER confidentiality policy)"
"Moffat County, CO",08081,160,"13,144","1,217.3"
"Montezuma County, CO",08083,310,"26,408","1,173.9"
"Montrose County, CO",08085,492,"43,322","1,135.7"
"Morgan County, CO",08087,352,"28,941","1,216.3"
"Otero County, CO",08089,309,"18,201","1,697.7"
"Ouray County, CO",08091,27,"5,001",539.9
"Park County, CO",08093,123,"18,955",648.9
"Phillips County, CO",08095,79,"4,367","1,809.0"
"Pitkin County, CO",08097,70,"17,894",391.2
"Prowers County, CO",08099,170,"12,106","1,404.3"
"Pueblo County, CO",08101,"2,328","169,823","1,370.8"
"Rio Blanco County, CO",08103,60,"6,342",946.1
"Rio Grande County, CO",08105,161,"11,296","1,425.3"
"Routt County, CO",08107,133,"25,560",520.3
"Saguache County, CO",08109,66,"6,938",951.3
"San Juan County, CO",08111,"Suppressed (small-cell, per WONDER confidentiality policy: fewer than 10 deaths)",748,"Suppressed (small-cell, per WONDER confidentiality policy)"
"San Miguel County, CO",08113,26,"8,105",320.8
"Sedgwick County, CO",08115,46,"2,260","2,035.4"
"Summit County, CO",08117,90,"30,631",293.8
"Teller County, CO",08119,210,"25,529",822.6
"Washington County, CO",08121,82,"4,875","1,682.1"
"Weld County, CO",08123,"2,233","333,983",668.6
"Yuma County, CO",08125,116,"10,047","1,154.6"
Total,,"46,918","5,807,719",807.9
