person_id,SERIALNO,SPORDER,PUMA,AGEP,SEX,PWGTP,SCHL,RAC1P
2022GQ0000581-01,2022GQ0000581,01,00500,43,1,25,17,1
2022GQ0001922-01,2022GQ0001922,01,00400,40,1,128,19,3
2022GQ0002180-01,2022GQ0002180,01,00200,18,1,121,14,2
2022GQ0003933-01,2022GQ0003933,01,00300,21,2,24,16,2
2022GQ0005096-01,2022GQ0005096,01,00500,92,2,26,16,1
2022GQ0005331-01,2022GQ0005331,01,00300,19,2,25,16,1
2022GQ0005459-01,2022GQ0005459,01,00300,20,1,91,19,1
2022GQ0006017-01,2022GQ0006017,01,00500,18,2,20,18,1
2022GQ0006126-01,2022GQ0006126,01,00500,85,1,132,16,1
2022GQ0006241-01,2022GQ0006241,01,00100,20,1,89,09,1
2022GQ0006634-01,2022GQ0006634,01,00200,18,1,12,16,1
2022GQ0007038-01,2022GQ0007038,01,00100,19,1,92,18,1
2022GQ0007760-01,2022GQ0007760,01,00300,15,2,11,13,1
2022GQ0007860-01,2022GQ0007860,01,00400,82,2,26,20,1
2022GQ0008327-01,2022GQ0008327,01,00500,81,1,230,16,1
2022GQ0010174-01,2022GQ0010174,01,00300,43,1,33,18,3
2022GQ0011072-01,2022GQ0011072,01,00300,92,1,43,16,1
2022GQ0011250-01,2022GQ0011250,01,00400,92,2,100,21,1
2022GQ0012146-01,2022GQ0012146,01,00400,64,2,84,16,1
2022GQ0013101-01,2022GQ0013101,01,00400,18,1,201,16,2
2022GQ0013367-01,2022GQ0013367,01,00300,20,1,30,16,1
2022GQ0014877-01,2022GQ0014877,01,00400,18,2,115,16,1
2022GQ0015718-01,2022GQ0015718,01,00200,33,1,74,14,5
2022GQ0015722-01,2022GQ0015722,01,00100,18,1,237,18,1
2022GQ0016507-01,2022GQ0016507,01,00200,29,1,41,14,8
2022GQ0018406-01,2022GQ0018406,01,00500,85,1,14,16,1
2022GQ0018898-01,2022GQ0018898,01,00200,32,1,34,21,1
2022GQ0021109-01,2022GQ0021109,01,00100,41,1,7,16,1
2022GQ0021257-01,2022GQ0021257,01,00400,18,2,70,18,1
2022GQ0021270-01,2022GQ0021270,01,00100,18,2,79,19,1
2022GQ0021679-01,2022GQ0021679,01,00200,85,2,5,09,1
2022GQ0021734-01,2022GQ0021734,01,00100,85,1,25,16,1
2022GQ0022263-01,2022GQ0022263,01,00200,36,1,27,16,1
2022GQ0023930-01,2022GQ0023930,01,00400,19,1,40,16,9
2022GQ0024195-01,2022GQ0024195,01,00400,24,1,127,15,3
2022GQ0024723-01,2022GQ0024723,01,00300,20,2,35,16,2
2022GQ0025211-01,2022GQ0025211,01,00400,18,1,80,18,1
2022GQ0027724-01,2022GQ0027724,01,00100,17,2,40,13,1
2022GQ0028810-01,2022GQ0028810,01,00200,92,1,34,20,1
2022GQ0029664-01,2022GQ0029664,01,00400,18,2,86,18,1
2022GQ0029722-01,2022GQ0029722,01,00400,92,2,37,16,1
2022GQ0030185-01,2022GQ0030185,01,00400,85,2,23,16,1
2022GQ0031861-01,2022GQ0031861,01,00100,19,2,197,18,1
2022GQ0033416-01,2022GQ0033416,01,00400,18,1,81,18,1
2022GQ0035601-01,2022GQ0035601,01,00200,75,1,40,19,1
2022GQ0036289-01,2022GQ0036289,01,00200,22,2,41,14,1
2022GQ0037153-01,2022GQ0037153,01,00200,40,1,74,16,1
2022GQ0037302-01,2022GQ0037302,01,00400,19,1,65,18,9
2022GQ0040339-01,2022GQ0040339,01,00100,25,1,6,16,8
2022GQ0044483-01,2022GQ0044483,01,00300,19,1,34,16,9
2022GQ0045157-01,2022GQ0045157,01,00500,19,2,35,18,1
2022GQ0045712-01,2022GQ0045712,01,00400,92,2,237,16,1
2022GQ0048581-01,2022GQ0048581,01,00100,92,2,207,16,1
2022GQ0050845-01,2022GQ0050845,01,00200,22,1,10,20,1
2022GQ0051258-01,2022GQ0051258,01,00100,30,2,84,17,2
2022GQ0051269-01,2022GQ0051269,01,00400,42,1,111,12,8
2022GQ0051390-01,2022GQ0051390,01,00300,20,2,47,14,1
2022GQ0052981-01,2022GQ0052981,01,00300,24,1,19,21,1
2022GQ0052983-01,2022GQ0052983,01,00100,59,2,127,21,1
2022GQ0053265-01,2022GQ0053265,01,00500,21,1,85,19,9
