household_id,person_number,puma_area_code,age_years,sex,race_code,education_code,marital_status,wages_income,total_personal_income,income_to_poverty_ratio,employment_status_code
2023HU0077537,3,106,2,2,2,,5,,,164,
2023HU1395966,1,105,41,1,1,21,5,84000,84000,501,1
2023HU0898596,1,103,72,2,3,20,3,30000,38900,272,1
2023HU0548071,2,101,69,2,9,24,1,0,430,501,6
2023HU0057921,3,103,1,2,1,,5,,,501,
2023HU0697695,3,102,77,1,2,16,3,23700,60000,412,1
2023HU0246583,5,103,0,2,9,,5,,,429,
2023HU1109417,1,105,33,2,9,24,1,321000,321000,501,1
2023GQ0094370,1,102,20,2,1,19,5,3100,3100,,6
2023HU0265857,1,102,34,2,1,21,5,580000,580000,501,1
2023GQ0156559,1,106,18,2,1,18,5,0,0,,6
2023HU0431092,1,105,34,2,1,23,5,370000,370000,501,1
2023HU0615944,1,101,23,2,6,21,5,0,0,0,6
2023HU0182811,1,103,28,1,1,23,5,103000,103000,501,1
2023HU0137564,1,104,88,2,2,16,2,0,43000,501,6
2023HU0127135,2,101,68,2,1,21,1,75000,210000,501,1
2023HU0482605,1,101,48,2,1,24,5,183000,183000,501,1
2023HU0194416,1,101,64,2,1,22,5,0,37000,243,6
2023HU1324867,2,103,55,1,9,21,1,27000,27000,501,1
2023GQ0158885,1,105,19,2,2,16,5,5600,5600,,6
2023HU1083080,2,102,45,2,1,20,1,115000,115000,501,1
2023HU0243141,1,106,27,2,1,22,5,107000,107000,501,1
2023HU1370774,1,105,21,2,1,21,5,8600,8600,258,1
2023HU1340735,1,105,26,2,1,21,5,79000,79460,501,1
2023HU0705323,2,101,56,1,1,21,5,250000,250000,501,1
2023HU0805119,1,106,77,1,1,24,1,137000,147000,501,1
2023HU0189503,1,105,72,1,1,24,1,30400,165200,501,6
2023HU0077491,1,104,34,2,2,16,5,56000,56000,232,1
2023HU0645261,2,104,57,1,2,17,3,41600,41600,501,1
2023HU1076645,3,106,34,1,1,22,5,60000,60000,380,1
2023HU1411585,1,101,72,1,1,23,1,0,82000,501,6
2023HU0961832,2,104,1,1,2,,5,,,3,
2023HU0402980,2,105,27,2,1,21,5,70000,70000,445,1
2023HU0614273,2,101,58,1,1,23,1,435000,636000,501,1
2023HU0212309,1,102,81,2,2,16,2,0,80000,501,6
2023HU0351952,1,106,30,2,6,22,5,0,0,0,6
2023HU0163375,1,106,48,2,2,16,5,0,330,1,6
2023HU1220111,1,103,29,2,2,23,5,67000,67000,434,1
2023HU0341369,4,102,4,2,1,1,5,,,501,
2023HU0189179,1,102,42,1,1,21,1,150000,152000,501,1
2023HU0197522,1,105,62,1,1,23,1,300000,300000,501,1
2023HU0606554,1,101,35,1,1,21,1,150000,180000,501,1
2023HU0806705,2,102,37,2,1,22,1,110000,112500,501,1
2023HU0629579,1,101,36,1,1,23,1,500000,500000,501,1
2023HU1084744,1,102,40,1,1,23,1,489000,486100,501,1
2023HU0025632,1,106,27,1,1,23,5,0,0,0,6
2023GQ0027005,1,103,20,1,9,19,5,0,0,,3
2023GQ0142320,1,101,25,2,1,21,5,53000,53000,,1
2023HU1010963,1,101,50,1,6,24,1,300000,300000,501,1
2023GQ0014276,1,106,20,1,6,16,5,1400,1400,,1
2023HU1383253,2,103,49,1,6,16,5,185000,185000,501,1
2023HU0871934,2,103,66,2,1,21,1,200000,200100,501,1
2023HU0015911,3,103,2,2,9,,5,,,501,
2023HU0047767,2,105,67,1,1,19,1,127000,386000,501,6
2023GQ0079061,1,106,66,1,2,1,5,0,23300,165,6
2023HU0382644,2,102,33,1,9,6,1,40000,40000,170,1
2023HU0996677,1,102,39,2,2,22,1,141000,141000,501,1
2023HU1349060,3,106,4,2,1,2,5,,,501,
2023HU0667813,1,104,78,2,2,16,2,0,54000,370,6
2023HU0569888,1,105,88,2,9,1,2,0,16100,501,6
2023HU0851684,1,103,29,2,1,22,5,130000,134500,501,1
2023HU0785613,3,102,0,1,2,,5,,,397,
2023HU0423799,1,101,26,2,1,21,5,0,0,0,6
2023GQ0102807,1,103,21,2,1,19,5,0,10200,,6
2023HU0886446,3,102,2,2,1,,5,,,501,
2023HU1102473,3,105,1,1,1,,5,,,501,
2023GQ0106873,1,105,18,1,2,18,5,1100,1100,,6
2023HU0996823,5,104,2,1,2,,5,,,150,
2023HU0559895,4,101,2,2,1,,5,,,501,
2023HU0869900,2,101,53,1,1,19,5,0,0,0,6
2023HU0199280,1,102,73,2,2,22,1,0,19200,137,6
2023HU0617231,2,105,25,1,1,21,5,150000,150000,501,1
2023HU1283898,3,106,20,1,1,19,1,3500,3500,501,1
2023HU0054610,1,103,39,1,1,22,1,170000,170000,501,1
2023GQ0109906,1,104,73,1,2,16,5,0,14400,,6
2023HU0258746,1,106,35,2,1,21,5,80000,80000,501,1
2023HU0363615,1,103,34,2,6,19,3,0,37000,235,3
2023HU0287930,1,105,27,2,1,21,5,66000,85900,501,1
2023HU0819833,1,101,70,2,2,24,3,30000,44000,308,1
2023GQ0106325,1,101,19,2,1,19,5,2500,2500,,1
2023HU0872213,1,106,29,1,2,21,5,130000,130000,501,1
2023GQ0018111,1,102,19,2,1,19,5,1300,1830,,6
2023GQ0102779,1,106,20,2,1,18,5,1600,1600,,1
2023HU0434950,2,104,63,2,2,16,3,0,15600,101,6
2023HU0170092,3,104,30,1,2,21,5,40000,40000,435,1
2023HU0537345,4,102,2,1,9,,5,,,501,
2023HU0708851,2,104,41,1,2,15,3,0,0,208,3
2023HU0785844,1,102,45,2,9,22,1,150000,165000,501,1
2023GQ0120150,1,101,19,1,1,18,5,0,0,,6
2023HU0869900,1,101,35,1,1,23,5,80000,80000,501,4
2023GQ0137352,1,106,23,1,2,13,5,0,0,0,6
2023HU0989324,4,106,13,1,9,10,5,,,501,
2023HU1337944,2,103,52,1,1,22,1,200,200,328,1
2023HU0996823,2,104,36,2,2,22,1,28000,28000,150,1
2023HU0996677,3,102,0,2,2,,5,,,501,
2023HU0277671,2,103,36,1,1,22,1,175000,172100,501,1
2023HU0978502,1,105,38,2,1,21,5,190000,190000,501,1
2023HU0600767,1,103,47,1,1,21,4,105000,105000,501,1
2023HU0680807,1,104,73,2,2,21,1,0,125000,501,6
2023HU0024279,1,102,78,1,2,22,2,0,40000,285,6
2023HU0088992,1,101,69,2,1,22,1,120000,120000,501,1
2023HU0570508,1,101,77,1,1,23,1,180000,390000,501,1
2023GQ0112219,1,102,81,2,2,20,5,0,10700,,6
2023HU0218783,1,101,94,2,1,24,2,0,40000,279,6
2023HU0140307,1,104,70,1,2,17,5,40000,42800,501,1
2023HU0537345,3,102,6,2,9,2,5,,,501,
2023HU0610075,2,106,20,2,1,19,5,10000,19000,121,1
2023HU1035902,5,102,0,2,6,,5,,,486,
2023HU0682838,3,102,0,1,2,,5,,,421,
2023HU0014133,2,101,54,1,1,23,1,150000,182000,501,1
2023HU1191231,2,104,26,1,2,15,5,0,11700,501,6
2023HU0790107,5,101,25,2,9,21,5,85000,85000,501,1
2023HU1332007,2,106,23,1,6,21,5,0,0,0,6
2023HU1156356,2,102,52,2,9,21,3,90000,90000,501,1
2023HU0648501,1,101,44,2,1,22,3,141000,141000,501,1
2023HU0499613,2,103,63,1,2,23,1,0,14000,464,6
2023HU1089581,1,103,59,1,1,21,1,125000,125000,501,1
2023HU0175801,5,105,10,2,6,6,5,,,501,
2023HU0488684,2,102,62,2,2,21,1,106000,106000,501,1
2023HU0384183,2,106,34,2,6,23,1,77000,98700,501,1
2023HU0604119,3,101,18,2,8,14,5,1000,1000,501,6
2023HU0237997,4,103,0,1,9,,5,,,501,
2023HU0740370,1,105,24,2,1,21,5,60000,60000,380,1
2023HU0010644,1,106,53,2,2,16,5,0,10100,451,6
2023HU1334417,1,105,38,2,1,23,1,100000,100000,501,6
2023HU0891669,2,105,25,2,1,21,5,60000,60000,383,1
2023HU0868989,1,104,64,2,2,13,2,18500,48400,312,1
2023HU1221572,1,101,46,2,1,21,1,120000,120000,501,1
2023HU1293544,1,104,29,2,2,19,5,56000,56000,274,1
2023HU1098832,3,102,2,1,2,,5,,,501,
2023HU1416864,4,102,2,2,1,,5,,,501,
2023HU0461138,1,103,40,1,1,22,1,147000,147000,501,1
2023HU1039321,3,105,36,2,8,22,1,85000,85000,501,1
